0.002 	 [7.04589941946665e-09, 1.980993813432974e-09, -3.162462419714629e-08, -3.1983296566728825e-09, 3.448036356434869e-08, -8.684302665873389e-09] 
0.004 	 [2.8183489320099397e-08, 7.923805500631431e-09, -1.2649815339660364e-07, -1.279265360309978e-08, 1.37919896170402e-07, -3.4736384157962874e-08] 
0.006 	 [6.341244540575275e-08, 1.7827928466829235e-08, -2.8461955781100556e-07, -2.8780976490949683e-08, 3.103139243343378e-07, -7.815376446007605e-08] 
0.008 	 [1.1273222755292522e-07, 3.169251627799241e-08, -5.059871208690225e-07, -5.115997298021924e-08, 5.516546596195937e-07, -1.3893231032291453e-07] 
0.01 	 [1.7614207825644712e-07, 4.9516385658421314e-08, -7.905984397704735e-07, -7.992498746167698e-08, 8.619311979707334e-07, -2.1706623565265204e-07] 
0.012 	 [2.5364102507197117e-07, 7.129801415928227e-08, -1.1384504250422367e-06, -1.1507003472299715e-07, 1.241129521045714e-06, -3.125481015664455e-07] 
0.014 	 [3.45227878950638e-07, 9.703554171291984e-08, -1.5495393012598946e-06, -1.565877996156928e-07, 1.6892324956607752e-06, -4.2536881655896863e-07] 
0.016 	 [4.5090123423907613e-07, 1.2672677007774524e-07, -2.0238606066036446e-06, -2.044696373881827e-07, 2.2062198761219065e-06, -5.555176372795678e-07] 
0.018000000000000002 	 [5.706594693455358e-07, 1.6036916261619183e-07, -2.5614091933578997e-06, -2.5870557407436934e-07, 2.7920683032256477e-06, -7.029821688098181e-07] 
0.02 	 [7.045007465178443e-07, 1.9795984562698266e-07, -3.162179227800266e-06, -3.192843065491502e-07, 3.446751306479534e-06, -8.6774836499659e-07] 
0.022000000000000002 	 [8.524230117323839e-07, 2.3949560656877367e-07, -3.826164191034209e-06, -3.8619320269495105e-07, 4.170239304102097e-06, -1.0498005296177837e-06] 
0.024 	 [1.014423994916136e-06, 2.8497289616957744e-07, -4.553356878544967e-06, -4.59418302456438e-07, 4.962499605354331e-06, -1.2491213163268178e-06] 
0.026000000000000002 	 [1.1905012096136147e-06, 3.3438782720551785e-07, -5.343749400810172e-06, -5.389443172854058e-07, 5.823496409873563e-06, -1.4656917301514305e-06] 
0.028 	 [1.3806519534309558e-06, 3.877361751669639e-07, -6.197333183355358e-06, -6.247546310844676e-07, 6.753190812003318e-06, -1.6994911277157243e-06] 
0.030000000000000002 	 [1.5848733075918275e-06, 4.45013378369552e-07, -7.114098967420102e-06, -7.168313003735882e-07, 7.751540798905943e-06, -1.9504972185169223e-06] 
0.032 	 [1.8031621371594753e-06, 5.062145378431637e-07, -8.09403681018006e-06, -8.151550549562181e-07, 8.818501254781452e-06, -2.218686065924569e-06] 
0.034 	 [2.0355150914808107e-06, 5.713344173319257e-07, -9.13713608491351e-06, -9.197052983633824e-07, 9.954023961200598e-06, -2.5040320878466638e-06] 
0.036000000000000004 	 [2.2819286029651664e-06, 6.403674447374996e-07, -1.024338548133441e-05, -1.0304601085753262e-06, 1.115805759932531e-05, -2.806508058172952e-06] 
0.038 	 [2.5423988886386084e-06, 7.133077106757924e-07, -1.1412773006369559e-05, -1.1473962381880476e-06, 1.243054775257324e-05, -3.126085107885146e-06] 
0.04 	 [2.816921949477802e-06, 7.901489698092234e-07, -1.2645285984602683e-05, -1.2704891153569875e-06, 1.3771436906950818e-05, -3.4627327262781726e-06] 
0.042 	 [3.105493569077744e-06, 8.708846402916137e-07, -1.3940911058052396e-05, -1.3997128442411189e-06, 1.5180664455050064e-05, -3.816418762458973e-06] 
0.044000000000000004 	 [3.4081093165383436e-06, 9.555078057665867e-07, -1.5299634187670996e-05, -1.5350402060021473e-06, 1.6658166698046983e-05, -4.18710942667877e-06] 
0.046 	 [3.7247645441329524e-06, 1.044011212258944e-06, -1.672144065312242e-05, -1.6764426589155335e-06, 1.8203876846700773e-05, -4.5747692914432925e-06] 
0.048 	 [4.055454388196544e-06, 1.1363872720604462e-06, -1.8206315053337363e-05, -1.8238903396472494e-06, 1.9817725026238797e-05, -4.979361293455664e-06] 
0.05 	 [4.4001737690146925e-06, 1.2326280613983442e-06, -1.9754241307512466e-05, -1.9773520641974685e-06, 2.149963827668966e-05, -5.400846735115206e-06] 
0.052000000000000005 	 [4.758917390934592e-06, 1.3327253222117363e-06, -2.1365202655554416e-05, -2.136795327956076e-06, 2.3249540557102044e-05, -5.839185286571347e-06] 
0.054 	 [5.13167974147688e-06, 1.4366704622625903e-06, -2.3039181658190966e-05, -2.3021863073124926e-06, 2.506735274876437e-05, -6.294334986944872e-06] 
0.056 	 [5.51845509377813e-06, 1.5444545540255206e-06, -2.4776160198469732e-05, -2.4734898601552757e-06, 2.69529926567591e-05, -6.766252246326321e-06] 
0.058 	 [5.919237504148356e-06, 1.6560683391286801e-06, -2.6576119485033356e-05, -2.650669525872118e-06, 2.8906375011406027e-05, -7.2548918439996335e-06] 
0.060000000000000005 	 [6.334020906550997e-06, 1.7715024047681993e-06, -2.8439040487160394e-05, -2.8336873968970444e-06, 3.09274110024127e-05, -7.760206430174055e-06] 
0.062 	 [6.76279899480825e-06, 1.8907469274687116e-06, -3.0364903322699366e-05, -3.022504264149628e-06, 3.3016008861186386e-05, -8.28214719694742e-06] 
0.064 	 [7.2055651821889555e-06, 2.0137916171281134e-06, -3.2353687115960206e-05, -3.2170796926966894e-06, 3.517207407699452e-05, -8.820664067765716e-06] 
0.066 	 [7.662311381051445e-06, 2.1406302861404214e-06, -3.440537303578406e-05, -3.4173716887409e-06, 3.7395502423986926e-05, -9.375699366764856e-06] 
