      2.00000000e-03      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000000e+00       9.99999999e-01       9.99999999e-01       9.99999998e-01       9.99999998e-01       1.05181332e-09       1.05181332e-09      -2.13435097e-09      -2.13435097e-09       1.99554406e-09       1.99554406e-09       0.00000000e+00       0.00000000e+00       0.00000000e+00
      4.00000000e-03      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000002e+00       1.00000002e+00       9.99999997e-01       9.99999997e-01       9.99999990e-01       9.99999990e-01       4.20724797e-09       4.20724797e-09      -8.53738433e-09      -8.53738433e-09       7.98216609e-09       7.98216609e-09       0.00000000e+00       0.00000000e+00       0.00000000e+00
      6.00000000e-03      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000004e+00       1.00000004e+00       9.99999993e-01       9.99999993e-01       9.99999978e-01       9.99999978e-01       9.46628842e-09       9.46628842e-09      -1.92090416e-08      -1.92090416e-08       1.79598348e-08       1.79598348e-08       0.00000000e+00       0.00000000e+00       0.00000000e+00
      8.00000000e-03      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000007e+00       1.00000007e+00       9.99999987e-01       9.99999987e-01       9.99999960e-01       9.99999960e-01       1.68289086e-08       1.68289086e-08      -3.41492254e-08      -3.41492254e-08       3.19284983e-08       3.19284983e-08       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.00000000e-02      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000011e+00       1.00000011e+00       9.99999980e-01       9.99999980e-01       9.99999938e-01       9.99999938e-01       2.62950718e-08       2.62950718e-08      -5.33577992e-08      -5.33577992e-08       4.98880838e-08       4.98880838e-08       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.20000000e-02      -6.98291841e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000016e+00       1.00000016e+00       9.99999971e-01       9.99999971e-01       9.99999911e-01       9.99999911e-01       3.78647312e-08       3.78647312e-08      -7.68345878e-08      -7.68345878e-08       7.18384977e-08       7.18384977e-08       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.40000000e-02      -6.98291840e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000021e+00       1.00000021e+00       9.99999960e-01       9.99999960e-01       9.99999878e-01       9.99999878e-01       5.15378287e-08       5.15378287e-08      -1.04579377e-07      -1.04579377e-07       9.77796254e-08       9.77796254e-08       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.60000000e-02      -6.98291840e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000028e+00       1.00000028e+00       9.99999948e-01       9.99999948e-01       9.99999841e-01       9.99999841e-01       6.73142970e-08       6.73142970e-08      -1.36591913e-07      -1.36591913e-07       1.27711332e-07       1.27711332e-07       0.00000000e+00       0.00000000e+00       0.00000000e+00
      1.80000000e-02      -6.98291840e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000035e+00       1.00000035e+00       9.99999935e-01       9.99999935e-01       9.99999799e-01       9.99999799e-01       8.51940574e-08       8.51940574e-08      -1.72871904e-07      -1.72871904e-07       1.61633460e-07       1.61633460e-07       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.00000000e-02      -6.98291839e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000043e+00       1.00000043e+00       9.99999919e-01       9.99999919e-01       9.99999752e-01       9.99999752e-01       1.05177021e-07       1.05177021e-07      -2.13419018e-07      -2.13419018e-07       1.99545835e-07       1.99545835e-07       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.20000000e-02      -6.98291839e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000053e+00       1.00000053e+00       9.99999902e-01       9.99999902e-01       9.99999700e-01       9.99999700e-01       1.27263089e-07       1.27263089e-07      -2.58232886e-07      -2.58232886e-07       2.41448257e-07       2.41448257e-07       0.00000000e+00       0.00000000e+00       0.00000000e+00
      2.40000000e-02      -6.98291838e+00       6.00000000e+00       6.00000000e+00       4.00000000e+00       1.20000000e+01       1.00000000e+00       1.00000000e+00       1.00000000e+00       1.00000063e+00       1.00000063e+00       9.99999884e-01       9.99999884e-01       9.99999643e-01       9.99999643e-01       1.51452151e-07       1.51452151e-07      -3.07313099e-07      -3.07313099e-07       2.87340509e-07       2.87340509e-07       0.00000000e+00       0.00000000e+00       0.00000000e+00
